ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-3323175,Source2,2,2017-09-21 11:45:15,2017-09-21 12:29:45,35.144157,-80.928459,,,0.0,Accident on NC-49 Tryon St near Yager Creek Dr.,S Tryon St,Charlotte,Mecklenburg,NC,28273-3319,US,US/Eastern,KCLT,2017-09-21 11:52:00,86.0,,55.0,30.06,10.0,NE,8.1,,Partly Cloudy,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-6673656,Source1,2,2020-12-11 23:23:55,2020-12-12 01:33:35,42.660866,-91.074546,42.693636,-91.07355600000001,2.265,Slow traffic on US-52 S - US-52 N from Wm Andre St (US-52) to Pumpkin Ridge Rd (US-52) due to accident., 390th St,Guttenberg,Clayton,IA,52052-8139,US,US/Central,KPDC,2020-12-11 23:15:00,33.0,26.0,85.0,29.23,5.0,NNE,8.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4396352,Source1,2,2022-04-25 17:12:34.000000000,2022-04-25 18:51:05.000000000,25.794977,-80.265603,25.795308,-80.265485,0.024,Incident on MCLAUGHLIN near N SERVICE RD Drive with caution.,NW 21st,Miami,Miami-Dade,FL,33122,US,US/Eastern,KMIA,2022-04-25 16:53:00,82.0,82.0,60.0,30.06,10.0,E,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1136898,Source2,3,2021-02-27 20:03:25,2021-02-27 20:59:04,29.328926,-94.930939,,,0.0,Two lanes blocked due to accident on I-45 Gulf Fwy Northbound at I-45 TX-146.,I-45 N,Hitchcock,Galveston,TX,77563,US,US/Central,KGLS,2021-02-27 20:02:00,66.0,66.0,93.0,29.89,1.0,SE,20.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6540556,Source1,2,2021-02-02 13:22:00,2021-02-02 14:24:00,29.424498,-98.501464,29.416086,-98.50317199999999,0.59,Stationary traffic on US-87 S - I-10 E - I-35 S from exit [155B] to S Alamo St (TX-536 Spur) exit [155A] due to accident.,I-10 E,San Antonio,Bexar,TX,78207,US,US/Central,KSKF,2021-02-02 12:56:00,63.0,63.0,28.0,29.44,10.0,S,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1270434,Source2,2,2020-11-12 16:12:46,2020-11-12 16:42:23,34.174313,-118.850006,,,0.0,#4 lane blocked due to accident on US-101 Northbound before CA-23 Exits 12A 12B.,CA-23 N,Westlake Village,Ventura,CA,91361,US,US/Pacific,KCMA,2020-11-12 15:55:00,64.0,64.0,43.0,29.93,10.0,W,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2330953,Source2,3,2019-01-11 07:33:58,2019-01-11 08:03:39,35.792362,-78.745361,,,0.0,Shoulder blocked due to accident on I-40 Westbound at Chapel Hill Rd.,Chapel Hill Rd,Raleigh,Wake,NC,27607,US,US/Eastern,KRDU,2019-01-11 07:51:00,21.9,,78.0,30.34,10.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3867670,Source1,2,2022-02-24 13:04:30.000000000,2022-02-24 15:15:13.000000000,28.357716999999997,-80.7326,28.355605999999998,-80.731902,0.152,Stationary traffic on US-1 S - FL-520 - FL-5 from N Cocoa Blvd / Peachtree St to Hughlett Ave due to accident.,Peachtree St,Cocoa,Brevard,FL,32922,US,US/Eastern,KTIX,2022-02-24 12:47:00,82.0,82.0,54.0,30.21,7.0,SE,9.0,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-6536715,Source1,2,2021-02-11 07:56:48,2021-02-11 09:36:07,34.669009,-92.383921,34.663351,-92.399351,0.96,Incident on I-30 WB near I-30 Expect long delays.,Mabelvale Pike,Little Rock,Pulaski,AR,72209,US,US/Central,KLIT,2021-02-11 07:53:00,27.0,17.0,89.0,29.96,6.0,N,12.0,0.01,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4130752,Source1,2,2022-02-20 10:56:00,2022-02-20 12:28:00,36.855038,-121.570431,36.859268,-121.596549,1.473,Slow traffic on CA-156 W - US-101 S - El Camino Real S - CA-156 from Rocks Rd (CA-156) to CR-G11/San Juan Rd (CA-156) due to accident.,San Juan Hollister Rd,San Juan Bautista,San Benito,CA,95045,US,US/Pacific,KCVH,2022-02-20 10:55:00,54.0,54.0,62.0,29.77,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
